fx_timestamp,pair,fx_rate,entry_timestamp
2025-03-27 15:01:42,"EUR,USD",1.08,2025-03-27 15:01:37.356974
2025-03-27 15:01:41,"GBP,USD",1.29,2025-03-27 15:01:37.356974
2025-03-27 15:01:42,"USD,CHF",0.88,2025-03-27 15:01:37.356974
2025-03-27 15:01:43,"EUR,USD",1.08,2025-03-27 15:01:37.356974
2025-03-27 15:01:43,"GBP,USD",1.29,2025-03-27 15:01:37.356974
2025-03-27 15:01:43,"USD,CHF",0.88,2025-03-27 15:01:37.356974
2025-03-27 15:01:44,"EUR,USD",1.08,2025-03-27 15:01:37.356974
2025-03-27 15:01:44,"GBP,USD",1.29,2025-03-27 15:01:37.356974
2025-03-27 15:01:44,"USD,CHF",0.88,2025-03-27 15:01:37.356974
2025-03-27 15:02:14,"EUR,USD",1.08,2025-03-27 15:01:37.356974
2025-03-27 15:02:15,"GBP,USD",1.29,2025-03-27 15:01:37.356974
2025-03-27 15:02:15,"USD,CHF",0.88,2025-03-27 15:01:37.356974
2025-03-27 15:02:14,"EUR,USD",1.08,2025-03-27 15:01:37.356974
2025-03-27 15:02:16,"GBP,USD",1.29,2025-03-27 15:01:37.356974
2025-03-27 15:02:15,"USD,CHF",0.88,2025-03-27 15:01:37.356974
2025-03-27 15:02:14,"EUR,USD",1.08,2025-03-27 15:01:37.356974
2025-03-27 15:02:16,"GBP,USD",1.29,2025-03-27 15:01:37.356974
2025-03-27 15:02:16,"USD,CHF",0.88,2025-03-27 15:01:37.356974
2025-03-27 15:02:17,"EUR,USD",1.08,2025-03-27 15:01:37.356974
2025-03-27 15:02:17,"GBP,USD",1.29,2025-03-27 15:01:37.356974
2025-03-27 15:02:18,"USD,CHF",0.88,2025-03-27 15:01:37.356974
2025-03-27 15:02:18,"EUR,USD",1.08,2025-03-27 15:01:37.356974
2025-03-27 15:02:18,"GBP,USD",1.29,2025-03-27 15:01:37.356974
2025-03-27 15:02:19,"USD,CHF",0.88,2025-03-27 15:01:37.356974
2025-03-27 15:02:20,"EUR,USD",1.08,2025-03-27 15:01:37.356974
2025-03-27 15:02:20,"GBP,USD",1.29,2025-03-27 15:01:37.356974
2025-03-27 15:02:20,"USD,CHF",0.88,2025-03-27 15:01:37.356974
2025-03-27 15:02:21,"EUR,USD",1.08,2025-03-27 15:01:37.356974
2025-03-27 15:02:20,"GBP,USD",1.29,2025-03-27 15:01:37.356974
2025-03-27 15:02:21,"USD,CHF",0.88,2025-03-27 15:01:37.356974
2025-03-27 15:02:21,"EUR,USD",1.08,2025-03-27 15:01:37.356974
2025-03-27 15:02:20,"GBP,USD",1.29,2025-03-27 15:01:37.356974
